poi_name,brand,latitude,longitude,shape_surface,postcode,index_to_benchmark_local,footfall_area_id,footfall_index
Le 202 Rivoli,,48.86503,2.33065,1249,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Waffle Factory,,48.86221,2.34492,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Waffle Factory,,48.86221,2.34492,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Restaurant La Halle aux Grains,,48.86294,2.34236,3502,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Restaurant La Halle aux Grains,,48.86294,2.34236,3502,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Yahmi,,48.85808,2.34584,71,75001,1.7003442370469344,891fb4662cbffff,0.87481220234866974
Yahmi,,48.85808,2.34584,71,75001,1.7003442370469344,891fb4662cbffff,0.88162756454968894
Le Café de l'Epoque,,48.86298,2.33981,463,75001,1.7003442370469344,891fb4675afffff,0.76745832393888413
Le Café de l'Epoque,,48.86298,2.33981,463,75001,1.7003442370469344,891fb4675afffff,0.78862371455225866
Brasserie Flottes,,48.86629,2.32535,1249,75001,1.7003442370469344,891fb467583ffff,0.75328197513286455
Brasserie Flottes,,48.86629,2.32535,1249,75001,1.7003442370469344,891fb467583ffff,0.77229878856549172
Madame Rêve Café,,48.86448,2.3431,1222,75001,1.7003442370469344,891fb4675a7ffff,0.76019973074776015
Madame Rêve Café,,48.86448,2.3431,1222,75001,1.7003442370469344,891fb4675a7ffff,0.77549321992933784
CHEZ LULU,,48.8642,2.34404,1249,75001,1.7003442370469344,891fb4662d3ffff,0.82462090948811828
CHEZ LULU,,48.8642,2.34404,1249,75001,1.7003442370469344,891fb4662d3ffff,0.83806848783266574
Le Pain Quotidien La Bourse,LE PAIN QUOTIDIEN,48.87003,2.34061,314,75001,1.7003442370469344,891fb46667bffff,0.79099833154904287
Le Pain Quotidien La Bourse,LE PAIN QUOTIDIEN,48.87003,2.34061,314,75001,1.7003442370469344,891fb46667bffff,0.80397382940097606
Le Pain Quotidien Victoires,LE PAIN QUOTIDIEN,48.86617,2.33913,1249,75001,1.7003442370469344,891fb4675b7ffff,0.75977506816643314
Le Pain Quotidien Victoires,LE PAIN QUOTIDIEN,48.86617,2.33913,1249,75001,1.7003442370469344,891fb4675b7ffff,0.78039015205091555
DokiDoki - Finest Hand Roll Bar,,48.8644,2.344,492,75001,1.7003442370469344,891fb4662d3ffff,0.82462090948811828
DokiDoki - Finest Hand Roll Bar,,48.8644,2.344,492,75001,1.7003442370469344,891fb4662d3ffff,0.83806848783266574
Café Rive Droite,,48.86069,2.34865,1249,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
Café Rive Droite,,48.86069,2.34865,1249,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Nostrum Paris Pont Neuf,NOSTRUM,48.86057,2.34475,1249,75001,1.7003442370469344,891fb4662cbffff,0.87481220234866974
Nostrum Paris Pont Neuf,NOSTRUM,48.86057,2.34475,1249,75001,1.7003442370469344,891fb4662cbffff,0.88162756454968894
Restaurant le Molière,,48.8612,2.34475,155,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Restaurant le Molière,,48.8612,2.34475,155,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Brasserie Maison Rouge,,48.86044,2.34667,223,75001,1.7003442370469344,891fb4662cbffff,0.87481220234866974
Brasserie Maison Rouge,,48.86044,2.34667,223,75001,1.7003442370469344,891fb4662cbffff,0.88162756454968894
Café Saint Honoré,,48.86264,2.33806,75,75001,1.7003442370469344,891fb4675afffff,0.76745832393888413
Café Saint Honoré,,48.86264,2.33806,75,75001,1.7003442370469344,891fb4675afffff,0.78862371455225866
Le Cosy,,48.86626,2.3271,1249,75001,1.7003442370469344,891fb467583ffff,0.75328197513286455
